Title,category,price,receipe
"""Americano""","""Hot_coffee""","""₹ 252""","""A classic coffee made with hot water and a shot of espresso. Simple, yet satisfying.(A.K.A. Up All Night Recovery)"""
"""Cafe Latte 350 Ml""","""Hot_coffee""","""₹ 309.75""","""Smooth, creamy coffee made with steamed milk and a shot of espresso. Perfect for those who prefer a milder coffee taste."""
"""Cafe Mocha""","""Hot_coffee""","""₹ 320.25""","""A delicious blend of milk coffee and special dark cocoa from Madagascar. Indulge in the velvety texture of steamed milk and the intense flavor of cocoa."""
"""Cappucino""","""Hot_coffee""","""₹ 309.75""","""Smooth, creamy coffee made with steamed milk and a shot of espresso. Perfect for those who prefer a milder coffee taste."""
"""Double Restritto 44 Ml""","""Hot_coffee""","""₹ 165""","""A traditional Indian coffee made with a unique blend of roasted coffee beans and chicory, served with frothy milk. A rich, flavorful brew that will transport you to the streets of South India."""
"""Espresso""","""Hot_coffee""","""₹ 189""","""Bold, aromatic espresso shot that's sure to awaken your senses. This 30ml ""Wake Me Up"" Coffee Shot is perfect for an energizing start to your day."""
"""Flat White 250 Ml""","""Hot_coffee""","""₹ 240""","""A smooth and velvety coffee made with a double shot of espresso and steamed milk. Experience the perfect balance of rich espresso and silky milk."""
"""Irish Americano""","""Hot_coffee""","""₹ 309.75""","""Our Irish Americano is a bold and satisfying drink that's perfect for any time of day. Featuring a double shot of rich espresso, this drink is served with warm water and a touch of sweet Irish syrup for a delightful balance of bitterness and sweetness. Order now to experience the perfect pick-me-up with a touch of Irish sweetness."""
"""Kaapicino""","""Hot_coffee""","""₹ 294""","""A fusion of traditional South Indian filter coffee and frothy cappuccino. Experience the best of both worlds in every sip."""
"""Sea Salt Dark Mocha""","""Hot_coffee""","""₹ 378""","""Our Sea Salt Dark Mocha is a delicious blend of milk coffee and special cocoa sourced from Madagascar, savored with Konkan coastal sea salt. The unique combination of rich, dark cocoa and sea salt creates a flavor profile that's both savory and sweet. Enjoy the velvety texture of steamed milk and the complex flavors of this indulgent drink."""
"""South Indian Filter Kaapi""","""Hot_coffee""","""₹ 252""","""A traditional Indian coffee made with a unique blend of roasted coffee beans and chicory, served with frothy milk. A rich, flavorful brew that will transport you to the streets of South India."""
"""Hot Chocolate""","""hot_choclate""","""₹ 368""","""Discover the unique flavors of our Matcha Frappe, made with green tea powder, milk, and ice, blended to perfection"""
"""Madagascar Hot Chocolate""","""hot_choclate""","""₹ 395""","""Discover the unique flavors of bestselling hot choclate with rich cocoa falvour"""
"""Almond Frappe""","""cold_coffee""","""₹ 415""","""Looking for a refreshing and lactose-free beat-the-heat solution? Our Almond Frappe is the perfect answer! Made with creamy almond milk, this indulgent treat is blended to perfection with ice for a smooth and satisfying texture. Whether you're dairy-free or just looking for a new twist on your usual iced coffee, our Almond Frappe is sure to hit the spot. Order now and savor the deliciousness!"""
"""Bon Bon""","""cold_coffee""","""₹ 415""","""The perfect coffee indulgence for those who love a touch of sweetness. Our expertly crafted coffee is paired with a generous drizzle of condensed milk, creating a delectable combination of flavors that will satisfy any craving. Indulge in the rich and creamy texture of our Bon Bon and experience a little taste of heaven in every sip."""
"""Classic frappe""","""cold_coffee""","""₹ 378""","""Our Classic Frappe is a delicious blend of coffee, milk, and ice that's perfect for any time of day. It's a creamy and refreshing drink that's a must-try for coffee lovers. Get your caffeine fix with this classic beverage."""
"""hazelnut frappe""","""cold_coffee""","""₹ 315""","""Indulge in the nutty and creamy flavors of our Hazelnut Frappe. Made with a blend of coffee, hazelnut syrup, milk, and ice, this drink is drizzled with caramel sauce and is a perfect treat to satisfy your cravings. Order now to experience the perfect blend of flavors."""
"""Iced americano""","""cold_coffee""","""₹ 252""","""Our Iced Americano is a refreshing and straightforward drink made with espresso and cold water poured over ice. It's a perfect pick-me-up on a hot day."""
"""iced latte""","""cold_coffee""","""₹ 310""","""Our Iced Americano is a refreshing and straightforward drink made with espresso and cold water poured over ice. It's a perfect pick-me-up on a hot day."""
"""Madagascar Chocochip Frappe""","""cold_coffee""","""₹ 457""","""Satisfy your chocolate cravings with our Madagascar ChocoChip Frappe. Made with a blend of coffee, chocolate syrup, milk, and ice, this drink is topped with chocolate chips for an added crunch. Order now to indulge in this chocolatey"""
"""Nariyal Irish Cream Frappe""","""cold_coffee""","""₹ 415""","""Treat yourself to the perfect blend of tender coconut and premium coffee with our Nariyal Irish Cream Frappe! This refreshing beverage is blended to precision for a smooth and creamy texture that will tantalize your taste buds. Order now to experience the tropical paradise in a cup."""
"""Origanal South Indian Frappe""","""cold_coffee""","""₹ 415""","""Experience the best of South India with our Original South India Frappe - a modern twist on the classic filter kaapi. We start with the finest quality coffee beans sourced from the region and carefully filter them to create a rich and aromatic base. Our expert baristas then blend this traditional filter kaapi with ice, milk and a touch of sweetness for a truly indulgent frappe experience."""
"""Vietnamese""","""cold_coffee""","""₹ 415""","""Savor the rich and bold flavors of our Vietnamese coffee. Made with strong coffee and sweetened condensed milk, this iced beverage is a must-try for coffee aficionados. Order now to experience the authentic taste of Vietnam."""
