Title,Image,votes,price,recipe,more
Americano,,8 votes,?252,"A classic coffee made with hot water and a shot of espresso. Simple, ... read more", read more
Cafe Latte 350 Ml,,6 votes,?309.75,"Smooth, creamy coffee made with steamed milk and a shot of espresso. Perfect ... read more", read more
Cafe Mocha,,13 votes,?320.25,A delicious blend of milk coffee and special dark cocoa from Madagascar. Indulge ... read more, read more
Cappucino,,9 votes,?309.75,"Smooth, creamy coffee made with steamed milk and a shot of espresso. Perfect ... read more", read more
Double Restritto 44 Ml,,,?165,A traditional Indian coffee made with a unique blend of roasted coffee beans ... read more, read more
Espresso,,,?189,"Bold, aromatic espresso shot that's sure to awaken your senses. This 30ml ""Wake ... read more", read more
Flat White 250 Ml,,17 votes,?240,A smooth and velvety coffee made with a double shot of espresso and ... read more, read more
Irish Americano,,,?309.75,Our Irish Americano is a bold and satisfying drink that's perfect for any ... read more, read more
Kaapicino,,,?294,A fusion of traditional South Indian filter coffee and frothy cappuccino. Experience the ... read more, read more
Sea Salt Dark Mocha,,,?378,Our Sea Salt Dark Mocha is a delicious blend of milk coffee and ... read more, read more
South Indian Filter Kaapi,,14 votes,?252,A traditional Indian coffee made with a unique blend of roasted coffee beans ... read more, read more
Cappucino,"https://b.zmtcdn.com/data/dish_photos/7ec/a581a0eddc90e877772e20827c2737ec.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",9 votes,?309.75,"Smooth, creamy coffee made with steamed milk and a shot of espresso. Perfect ... read more", read more
Double Restritto 44 Ml,"https://b.zmtcdn.com/data/dish_photos/0a5/bb0aa96c114180f9cb4cc51dae3a90a5.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",,?165,A traditional Indian coffee made with a unique blend of roasted coffee beans ... read more, read more
Espresso,"https://b.zmtcdn.com/data/dish_photos/2b7/7a028f8274f94be38c7b2485dd1ca2b7.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",,?189,"Bold, aromatic espresso shot that's sure to awaken your senses. This 30ml ""Wake ... read more", read more
Flat White 250 Ml,"https://b.zmtcdn.com/data/dish_photos/ab5/fbd9c5c6e516cff2553fdf53daaedab5.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",17 votes,?240,A smooth and velvety coffee made with a double shot of espresso and ... read more, read more
Americano,"https://b.zmtcdn.com/data/dish_photos/932/05e32bc55a40d40066a4194e48832932.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",8 votes,?252,"A classic coffee made with hot water and a shot of espresso. Simple, ... read more", read more
Kaapicino,"https://b.zmtcdn.com/data/dish_photos/a1d/24f9f93a103b2d0966dc9e965d3f8a1d.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",,?294,A fusion of traditional South Indian filter coffee and frothy cappuccino. Experience the ... read more, read more
Sea Salt Dark Mocha,"https://b.zmtcdn.com/data/dish_photos/07a/1bec3fd3d258a1e374bebaf6346c307a.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",,?378,Our Sea Salt Dark Mocha is a delicious blend of milk coffee and ... read more, read more
Cafe Mocha,"https://b.zmtcdn.com/data/dish_photos/642/58a23dd020e9eb543fd386965f826642.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",13 votes,?320.25,A delicious blend of milk coffee and special dark cocoa from Madagascar. Indulge ... read more, read more
Cafe Latte 350 Ml,"https://b.zmtcdn.com/data/dish_photos/4ea/b3b12171e81c3c2e610fe7594943c4ea.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",6 votes,?309.75,"Smooth, creamy coffee made with steamed milk and a shot of espresso. Perfect ... read more", read more
South Indian Filter Kaapi,"https://b.zmtcdn.com/data/dish_photos/a5d/d482391bd9796c0b5561fd98bf3fda5d.jpeg?output-format=webp&fit=around|130:130&crop=130:130;*,*",14 votes,?252,A traditional Indian coffee made with a unique blend of roasted coffee beans ... read more, read more
